team1,team2,score1,score2,date
Army West Point,Lehigh,71,84,2022-01-26
N.C. A&T,Longwood,71,79,2022-01-26
NJIT,UMBC,69,73,2022-01-26
Iowa St.,Oklahoma St.,84,81,2022-01-26
Tarleton St.,Lamar University,62,57,2022-01-26
Oklahoma,West Virginia,72,62,2022-01-26
UCF,Wichita St.,79,84,2022-01-26
Abilene Christian,UTRGV,87,85,2022-01-26
Mercer,Samford,61,75,2022-01-26
George Washington,Saint Louis,67,80,2022-01-26
Drake,Illinois St.,89,88,2022-01-26
Penn St.,Indiana,57,74,2022-01-26
VCU,Davidson,70,68,2022-01-26
Marquette,Seton Hall,73,63,2022-01-26
Texas A&M,LSU,64,70,2022-01-26
Tulsa,Tulane,63,97,2022-01-26
Florida St.,Georgia Tech,61,75,2022-01-26
NC State,Notre Dame,65,73,2022-01-26
SFA,Seattle U,62,70,2022-01-26
Utah,Washington St.,54,71,2022-01-26
Sam Houston,California Baptist,73,68,2022-01-26
San Diego St.,Utah St.,57,75,2022-01-26
Wisconsin,Nebraska,73,65,2022-01-27
Eastern Ky.,FGCU,73,77,2022-01-27
Arkansas St.,App State,54,61,2022-01-27
Drexel,James Madison,88,82,2022-01-27
Murray St.,Tennessee Tech,80,75,2022-01-27
Hofstra,Col. of Charleston,76,73,2022-01-27
Milwaukee,Robert Morris,53,77,2022-01-27
Saint Francis (PA),Wagner,54,69,2022-01-27
North Ala.,Liberty,53,72,2022-01-27
Mount St. Marys,Fairleigh Dickinson,67,56,2022-01-27
Northeastern,UNCW,62,67,2022-01-27
Little Rock,Coastal Carolina,49,65,2022-01-27
Merrimack,Bryant,67,76,2022-01-27
UIC,Detroit Mercy,67,80,2022-01-27
Delaware,Towson,57,69,2022-01-27
Lipscomb,Jacksonville,59,66,2022-01-27
St. Francis Brooklyn,Sacred Heart,71,66,2022-01-27
Green Bay,Youngstown St.,50,63,2022-01-27
LIU,Central Conn. St.,62,65,2022-01-27
Gardner-Webb,UNC Asheville,61,55,2022-01-27
William & Mary,Elon,54,61,2022-01-27
Middle Tenn.,Marshall,81,79,2022-01-27
Jacksonville St.,Kennesaw St.,70,64,2022-01-27
Rice,Louisiana Tech,63,80,2022-01-27
Bellarmine,Stetson,72,47,2022-01-27
Ga. Southern,ULM,50,45,2022-01-27
Loyola Chicago,Southern Ill.,44,39,2022-01-27
Ball St.,NIU,74,67,2022-01-27
New Orleans,Houston Baptist,77,66,2022-01-27
Troy,South Alabama,63,82,2022-01-27
North Dakota St.,South Dakota,74,62,2022-01-27
North Dakota,South Dakota St.,61,96,2022-01-27
Texas St.,UT Arlington,58,70,2022-01-27
Central Ark.,North Florida,74,93,2022-01-27
Utah Valley,Chicago St.,101,87,2022-01-27
Weber St.,Northern Colo.,85,76,2022-01-27
Georgia St.,Louisiana,68,64,2022-01-27
Ohio St.,Minnesota,75,64,2022-01-27
Oral Roberts,Omaha,100,88,2022-01-27
North Texas,Southern Miss.,63,54,2022-01-27
FIU,UTSA,66,73,2022-01-27
Belmont,Austin Peay,75,67,2022-01-27
Nicholls,McNeese,81,71,2022-01-27
UIW,Northwestern St.,70,79,2022-01-27
Tennessee St.,SIUE,75,70,2022-01-27
East Carolina,Memphis,54,71,2022-01-27
A&M-Corpus Christi,Southeastern La.,86,71,2022-01-27
Purdue,Iowa,83,73,2022-01-27
Morehead St.,Southeast Mo. St.,74,73,2022-01-27
Idaho,Montana,62,81,2022-01-27
Kansas City,Denver,72,61,2022-01-27
Eastern Wash.,Montana St.,65,69,2022-01-27
California,UCLA,57,81,2022-01-27
Fla. Atlantic,UTEP,68,70,2022-01-27
UAB,Western Ky.,68,65,2022-01-27
Cal St. Fullerton,UC Davis,74,58,2022-01-27
Eastern Ill.,UT Martin,58,53,2022-01-27
CSU Bakersfield,UC Irvine,52,57,2022-01-27
Cal Poly,UC San Diego,59,55,2022-01-27
Idaho St.,Sacramento St.,60,61,2022-01-27
Southern Utah,Portland St.,85,82,2022-01-27
Saint Marys (CA),San Francisco,72,70,2022-01-27
Long Beach St.,UC Riverside,68,62,2022-01-27
Pacific,Portland,56,64,2022-01-27
Pepperdine,San Diego,56,64,2022-01-27
LMU (CA),Gonzaga,55,89,2022-01-27
BYU,Santa Clara,76,77,2022-01-27
Colorado,Washington,58,60,2022-01-27
Stanford,Southern California,64,61,2022-01-27
CSUN,Hawaii,65,72,2022-01-28
Colgate,Boston U.,72,76,2022-01-28
Stony Brook,New Hampshire,76,69,2022-01-28
Penn,Harvard,78,74,2022-01-28
Lehigh,Holy Cross,65,67,2022-01-28
Wyoming,Air Force,63,61,2022-01-28
Canisius,Monmouth,67,72,2022-01-28
Manhattan,Saint Peters,51,77,2022-01-28
Ohio,Buffalo,74,53,2022-01-28
Akron,Toledo,76,84,2022-01-28
Purdue Fort Wayne,Northern Ky.,49,59,2022-01-28
Fairfield,Rider,76,65,2022-01-28
Niagara,Siena,56,60,2022-01-28
Rhode Island,Dayton,51,53,2022-01-28
Marist,Quinnipiac,87,94,2022-01-28
Cleveland St.,Wright St.,71,67,2022-01-28
San Jose St.,New Mexico,70,86,2022-01-28
UNLV,Colorado St.,88,74,2022-01-28
Boise St.,Fresno St.,68,63,2022-01-28
LSU,TCU,68,77,2022-01-29
Georgetown,Butler,53,56,2022-01-29
La Salle,Davidson,69,77,2022-01-29
Wichita St.,Tulane,66,67,2022-01-29
Duke,Louisville,74,65,2022-01-29
Miami (FL),Georgia Tech,73,62,2022-01-29
Michigan,Michigan St.,67,83,2022-01-29
Chattanooga,The Citadel,75,62,2022-01-29
Lafayette,Army West Point,56,60,2022-01-29
ETSU,VMI,79,83,2022-01-29
Arkansas St.,Coastal Carolina,73,66,2022-01-29
Samford,Western Caro.,74,64,2022-01-29
Fla. Atlantic,UTSA,73,64,2022-01-29
High Point,Campbell,72,77,2022-01-29
Saint Josephs,St. Bonaventure,69,80,2022-01-29
Saint Louis,Duquesne,77,53,2022-01-29
UMBC,Binghamton,70,68,2022-01-29
Milwaukee,Youngstown St.,72,86,2022-01-29
American,Navy,45,47,2022-01-29
Xavier,Creighton,74,64,2022-01-29
Oklahoma,Auburn,68,86,2022-01-29
Missouri,Iowa St.,50,67,2022-01-29
Maine,Vermont,68,81,2022-01-29
Illinois St.,UNI,64,79,2022-01-29
Drexel,Towson,62,66,2022-01-29
West Virginia,Arkansas,68,77,2022-01-29
Dartmouth,Columbia,76,63,2022-01-29
NC State,North Carolina,80,100,2022-01-29
Indiana,Maryland,68,55,2022-01-29
Arizona St.,Arizona,56,67,2022-01-29
Temple,SMU,61,69,2022-01-29
UIC,Oakland,74,81,2022-01-29
UT Martin,Belmont,58,87,2022-01-29
North Dakota St.,South Dakota St.,76,80,2022-01-29
Dixie St.,Chicago St.,79,65,2022-01-29
Georgia St.,ULM,73,62,2022-01-29
Winthrop,Longwood,88,92,2022-01-29
Miami (OH),Eastern Mich.,75,85,2022-01-29
St. Thomas (MN),Western Ill.,52,81,2022-01-29
Middle Tenn.,Western Ky.,93,85,2022-01-29
Virginia Tech,Florida St.,85,72,2022-01-29
Rice,Southern Miss.,76,62,2022-01-29
Western Mich.,Ball St.,72,83,2022-01-29
A&M-Corpus Christi,Northwestern St.,76,90,2022-01-29
Southern U.,Alcorn,64,68,2022-01-29
Norfolk St.,South Carolina St.,87,69,2022-01-29
Northeastern,Col. of Charleston,63,81,2022-01-29
Elon,William & Mary,61,65,2022-01-29
Eastern Ky.,Stetson,95,113,2022-01-29
Howard,N.C. Central,75,74,2022-01-29
Delaware,James Madison,85,69,2022-01-29
Oklahoma St.,Florida,72,81,2022-01-29
UMES,Coppin St.,64,61,2022-01-29
Central Mich.,NIU,69,63,2022-01-29
Kansas St.,Ole Miss,56,67,2022-01-29
Abilene Christian,Lamar University,85,82,2022-01-29
Oral Roberts,Denver,89,80,2022-01-29
Sam Houston,Seattle U,63,78,2022-01-29
UNC Asheville,Presbyterian,68,67,2022-01-29
VCU,Richmond,64,62,2022-01-29
Baylor,Alabama,78,87,2022-01-29
North Texas,Louisiana Tech,63,62,2022-01-29
Little Rock,App State,57,72,2022-01-29
Long Beach St.,UC Davis,70,63,2022-01-29
USC Upstate,N.C. A&T,84,64,2022-01-29
Portland St.,Northern Ariz.,97,76,2022-01-29
St. Johns (NY),Villanova,62,73,2022-01-29
Illinois,Northwestern,59,56,2022-01-29
Radford,Gardner-Webb,42,61,2022-01-29
Tennessee St.,Eastern Ill.,57,62,2022-01-29
UIW,Southeastern La.,68,78,2022-01-29
Saint Francis (PA),Mount St. Marys,54,71,2022-01-29
Lipscomb,North Florida,77,74,2022-01-29
Ark.-Pine Bluff,Mississippi Val.,74,68,2022-01-29
SIUE,Southeast Mo. St.,77,85,2022-01-29
Morehead St.,Murray St.,66,77,2022-01-29
Florida A&M,Alabama A&M,65,60,2022-01-29
Utah,Washington,73,77,2022-01-29
Kent St.,Bowling Green,91,83,2022-01-29
UT Arlington,Texas St.,53,58,2022-01-29
North Dakota,South Dakota,58,71,2022-01-29
Hampton,Charleston So.,78,74,2022-01-29
North Ala.,Kennesaw St.,71,58,2022-01-29
Georgia,Vanderbilt,77,85,2022-01-29
Texas Southern,Prairie View,75,74,2022-01-29
Grambling,Jackson St.,73,64,2022-01-29
Kentucky,Kansas,80,62,2022-01-29
Central Ark.,Jacksonville,59,79,2022-01-29
Yale,Princeton,80,74,2022-01-29
Virginia,Notre Dame,65,69,2022-01-29
Idaho,Montana St.,64,70,2022-01-29
Mississippi St.,Texas Tech,50,76,2022-01-29
Furman,Mercer,80,50,2022-01-29
Rutgers,Nebraska,63,61,2022-01-29
UConn,DePaul,57,50,2022-01-29
California,Southern California,72,79,2022-01-29
Santa Clara,San Francisco,85,88,2022-01-29
UAB,Marshall,81,84,2022-01-29
South Alabama,Troy,68,77,2022-01-29
San Diego,LMU (CA),69,65,2022-01-29
Green Bay,Robert Morris,60,62,2022-01-29
Charlotte,Old Dominion,52,68,2022-01-29
Bellarmine,FGCU,74,63,2022-01-29
Hofstra,UNCW,72,78,2022-01-29
Albany (NY),NJIT,64,53,2022-01-29
UNC Greensboro,Wofford,66,85,2022-01-29
Jacksonville St.,Liberty,77,67,2022-01-29
Evansville,Missouri St.,58,72,2022-01-29
Bethune-Cookman,Alabama St.,73,79,2022-01-29
Ga. Southern,Louisiana,66,65,2022-01-29
South Fla.,Tulsa,45,76,2022-01-29
Pepperdine,Saint Marys (CA),57,81,2022-01-29
Cal St. Fullerton,UC Riverside,54,67,2022-01-29
Houston,UCF,63,49,2022-01-29
Nicholls,Houston Baptist,73,61,2022-01-29
Tennessee,Texas,51,52,2022-01-29
Kansas City,Omaha,68,69,2022-01-29
Tarleton St.,UTRGV,79,64,2022-01-29
Wake Forest,Syracuse,72,94,2022-01-29
South Carolina,Texas A&M,74,63,2022-01-29
Austin Peay,Tennessee Tech,58,55,2022-01-29
FIU,UTEP,68,79,2022-01-29
Portland,Gonzaga,72,104,2022-01-29
Eastern Wash.,Montana,59,61,2022-01-29
Grand Canyon,New Mexico St.,61,71,2022-01-29
Cal Poly,UC Irvine,48,72,2022-01-29
Stanford,UCLA,43,66,2022-01-29
BYU,Pacific,73,76,2022-01-29
Weber St.,Sacramento St.,79,59,2022-01-29
CSU Bakersfield,UC San Diego,75,83,2022-01-29
Oregon St.,Oregon,56,78,2022-01-29
SFA,California Baptist,81,77,2022-01-29
Utah St.,Nevada,78,49,2022-01-29
UC Santa Barbara,Hawaii,62,65,2022-01-30
Cornell,Brown,74,72,2022-01-30
Ohio St.,Purdue,78,81,2022-01-30
Cincinnati,East Carolina,60,59,2022-01-30
Cleveland St.,Northern Ky.,72,78,2022-01-30
Fordham,George Washington,55,64,2022-01-30
Purdue Fort Wayne,Wright St.,63,75,2022-01-30
Marquette,Providence,63,65,2022-01-30
Minnesota,Wisconsin,60,66,2022-01-30
Saint Peters,Iona,77,85,2022-01-30
Central Conn. St.,Fairleigh Dickinson,55,75,2022-01-30
LIU,Bryant,81,88,2022-01-30
Quinnipiac,Siena,76,85,2022-01-30
Wagner,St. Francis Brooklyn,72,69,2022-01-30
Delaware St.,Morgan St.,70,82,2022-01-30
Canisius,Rider,62,70,2022-01-30
Loyola Chicago,Drake,68,77,2022-01-30
George Mason,Massachusetts,72,62,2022-01-30
Niagara,Monmouth,70,69,2022-01-30
Indiana St.,Bradley,52,67,2022-01-30
Marist,Manhattan,66,72,2022-01-30
Pittsburgh,Boston College,56,69,2022-01-30
Valparaiso,Southern Ill.,55,77,2022-01-30
Loyola Maryland,Bucknell,80,82,2022-01-30
New Orleans,McNeese,84,78,2022-01-30
Colorado,Washington St.,43,70,2022-01-30
Colgate,Lafayette,72,61,2022-01-31
Northern Ariz.,Southern Utah,66,78,2022-01-31
Liberty,Kennesaw St.,65,50,2022-01-31
Mich.-Dearborn,Detroit Mercy,51,96,2022-01-31
East-West U.,IUPUI,59,75,2022-01-31
Iowa,Penn St.,86,90,2022-01-31
Drexel,UNCW,63,70,2022-01-31
Wofford,Mercer,62,67,2022-01-31
Morehead St.,Tennessee Tech,70,56,2022-01-31
SIUE,Austin Peay,63,68,2022-01-31
Kansas City,Western Ill.,83,75,2022-01-31
Holy Cross,Boston U.,75,70,2022-01-31
Duke,Notre Dame,57,43,2022-01-31
Albany (NY),Vermont,61,73,2022-01-31
Hartford,Maine,78,66,2022-01-31
Morgan St.,UMES,72,79,2022-01-31
Howard,South Carolina St.,55,58,2022-01-31
Bethune-Cookman,Alabama A&M,52,67,2022-01-31
Colorado St.,Wyoming,78,84,2022-01-31
South Dakota St.,North Dakota,70,64,2022-01-31
Grambling,Alcorn,80,73,2022-01-31
Southern U.,Jackson St.,75,64,2022-01-31
West Virginia,Baylor,77,81,2022-01-31
Florida A&M,Alabama St.,66,65,2022-01-31
Norfolk St.,N.C. Central,67,70,2022-01-31
TCU,Oklahoma,72,63,2022-01-31
Eastern Wash.,Weber St.,84,90,2022-01-31
Pacific,Santa Clara,59,81,2022-01-31
New Mexico,San Diego St.,47,72,2022-01-31
Northern Colo.,Portland St.,76,79,2022-01-31
Boston College,Virginia,55,67,2022-02-01
Creighton,UConn,59,55,2022-02-01
Kansas,Iowa St.,70,61,2022-02-01
Richmond,Duquesne,74,57,2022-02-01
Texas A&M,Tennessee,80,90,2022-02-01
Toledo,Eastern Mich.,86,66,2022-02-01
South Carolina,Mississippi St.,64,78,2022-02-01
Canisius,Siena,65,73,2022-02-01
Bowling Green,Central Mich.,74,78,2022-02-01
Davidson,St. Bonaventure,81,76,2022-02-01
Rutgers,Northwestern,78,79,2022-02-01
Kent St.,Miami (OH),78,65,2022-02-01
NIU,Western Mich.,75,56,2022-02-01
Michigan St.,Maryland,65,63,2022-02-01
Ball St.,Ohio,63,87,2022-02-01
North Carolina,Louisville,90,83,2022-02-01
Seton Hall,Georgetown,70,63,2022-02-01
Ole Miss,LSU,76,72,2022-02-01
Providence,St. Johns (NY),86,82,2022-02-01
Tulsa,Wichita St.,48,58,2022-02-01
Alabama,Auburn,81,100,2022-02-01
Texas,Texas Tech,64,77,2022-02-01
Air Force,Utah St.,46,73,2022-02-01
Nebraska,Michigan,79,85,2022-02-01
UC Davis,UC Riverside,65,60,2022-02-01
California,Stanford,50,57,2022-02-01
Nevada,UNLV,58,69,2022-02-01
Fresno St.,San Jose St.,73,43,2022-02-01
Florida,Missouri,66,65,2022-02-02
Chicago St.,Abilene Christian,73,77,2022-02-02
Charleston So.,Radford,52,64,2022-02-02
Longwood,UNC Asheville,56,48,2022-02-02
Navy,Lehigh,62,63,2022-02-02
NJIT,Vermont,67,90,2022-02-02
USC Upstate,Hampton,85,78,2022-02-02
Florida St.,Clemson,69,75,2022-02-02
Gardner-Webb,High Point,65,57,2022-02-02
Pittsburgh,Wake Forest,75,91,2022-02-02
Arkansas,Georgia,99,73,2022-02-02
Butler,Xavier,66,68,2022-02-02
Temple,East Carolina,71,63,2022-02-02
Notre Dame,Miami (FL),68,64,2022-02-02
Vanderbilt,Kentucky,70,77,2022-02-02
Campbell,Presbyterian,58,64,2022-02-02
VMI,UNC Greensboro,76,65,2022-02-02
American,Lafayette,62,71,2022-02-02
Saint Louis,George Mason,92,90,2022-02-02
Bucknell,Colgate,69,83,2022-02-02
La Salle,George Washington,87,89,2022-02-02
ETSU,Western Caro.,84,87,2022-02-02
The Citadel,Furman,83,102,2022-02-02
Drake,Indiana St.,85,67,2022-02-02
UMass Lowell,Maine,62,50,2022-02-02
Army West Point,Loyola Maryland,57,61,2022-02-02
Hartford,New Hampshire,64,70,2022-02-02
UMBC,Albany (NY),59,53,2022-02-02
Rhode Island,Fordham,55,61,2022-02-02
Binghamton,Stony Brook,77,61,2022-02-02
Purdue,Minnesota,88,73,2022-02-02
Coppin St.,Delaware St.,59,57,2022-02-02
Lamar University,UTRGV,79,93,2022-02-02
Chattanooga,Samford,72,80,2022-02-02
Bradley,UNI,65,78,2022-02-02
Tulane,Houston,62,73,2022-02-02
Illinois St.,Loyola Chicago,64,78,2022-02-02
Wisconsin,Illinois,67,80,2022-02-02
Dayton,VCU,82,52,2022-02-02
Missouri St.,Southern Ill.,69,54,2022-02-02
Oklahoma St.,Kansas St.,68,71,2022-02-02
Georgia Tech,Virginia Tech,66,81,2022-02-02
Syracuse,NC State,89,82,2022-02-02
Villanova,Marquette,73,83,2022-02-02
Liberty,Bellarmine,66,53,2022-02-03
Eastern Mich.,Ohio,68,81,2022-02-03
Tennessee Tech,Morehead St.,68,75,2022-02-03
Kennesaw St.,Eastern Ky.,81,82,2022-02-03
Murray St.,Austin Peay,65,53,2022-02-03
Southeast Mo. St.,UT Martin,63,84,2022-02-03
Drexel,Delaware,76,68,2022-02-03
App State,Texas St.,66,68,2022-02-03
St. Johns (NY),Georgetown,90,77,2022-02-03
Fairleigh Dickinson,St. Francis Brooklyn,64,81,2022-02-03
Western Mich.,Central Mich.,55,65,2022-02-03
Col. of Charleston,William & Mary,84,61,2022-02-03
Merrimack,Mount St. Marys,53,69,2022-02-03
Louisiana Tech,Fla. Atlantic,73,83,2022-02-03
Towson,Hofstra,78,68,2022-02-03
Troy,Georgia St.,67,63,2022-02-03
James Madison,Northeastern,76,71,2022-02-03
Southern Miss.,FIU,67,77,2022-02-03
Sacred Heart,LIU,75,79,2022-02-03
Youngstown St.,IUPUI,61,55,2022-02-03
UNCW,Elon,65,78,2022-02-03
Wagner,Central Conn. St.,54,52,2022-02-03
N.C. A&T,Winthrop,54,64,2022-02-03
Bryant,Saint Francis (PA),89,82,2022-02-03
Western Ky.,Charlotte,78,59,2022-02-03
South Alabama,Ga. Southern,57,58,2022-02-03
South Fla.,UCF,49,68,2022-02-03
Dixie St.,Sam Houston,53,77,2022-02-03
Utah Valley,SFA,59,78,2022-02-03
Louisiana,Little Rock,75,51,2022-02-03
UTSA,Rice,78,91,2022-02-03
Northwestern St.,Houston Baptist,97,87,2022-02-03
Robert Morris,UIC,75,80,2022-02-03
Omaha,North Dakota St.,64,71,2022-02-03
St. Thomas (MN),Kansas City,72,81,2022-02-03
Western Ill.,Oral Roberts,90,85,2022-02-03
UCLA,Arizona,66,76,2022-02-03
Portland St.,Northern Colo.,106,99,2022-02-03
Denver,North Dakota,81,79,2022-02-03
ULM,Arkansas St.,60,59,2022-02-03
Marshall,Old Dominion,64,79,2022-02-03
Stetson,Lipscomb,77,71,2022-02-03
Nicholls,UIW,63,60,2022-02-03
North Florida,Jacksonville St.,88,76,2022-02-03
New Orleans,A&M-Corpus Christi,79,70,2022-02-03
Belmont,Tennessee St.,88,61,2022-02-03
Southeastern La.,McNeese,83,78,2022-02-03
FGCU,Central Ark.,95,93,2022-02-03
Gonzaga,San Diego,92,62,2022-02-03
Jacksonville,North Ala.,56,50,2022-02-03
Oregon St.,Utah,59,84,2022-02-03
California Baptist,New Mexico St.,57,68,2022-02-03
Montana,Weber St.,75,80,2022-02-03
Idaho,Southern Utah,59,75,2022-02-03
Seattle U,Grand Canyon,66,78,2022-02-03
Washington St.,Stanford,66,60,2022-02-03
LMU (CA),Santa Clara,60,79,2022-02-03
Boise St.,Wyoming,65,72,2022-02-03
San Jose St.,Utah St.,62,78,2022-02-03
Oregon,Colorado,66,51,2022-02-03
Cal Poly,Cal St. Fullerton,50,61,2022-02-03
CSU Bakersfield,Long Beach St.,65,74,2022-02-03
Northern Ariz.,Sacramento St.,62,61,2022-02-03
UC San Diego,CSUN,83,77,2022-02-03
UC Irvine,UC Santa Barbara,53,52,2022-02-03
San Francisco,BYU,73,59,2022-02-03
Pepperdine,Pacific,76,81,2022-02-03
Saint Marys (CA),Portland,75,54,2022-02-03
Southern California,Arizona St.,58,53,2022-02-03
Hawaii,UC Riverside,59,64,2022-02-03
Washington,California,84,63,2022-02-03
Dartmouth,Yale,69,72,2022-02-04
Western Caro.,VMI,69,76,2022-02-04
St. Bonaventure,Richmond,61,71,2022-02-04
Miami (OH),Akron,55,66,2022-02-04
Fairfield,Monmouth,56,59,2022-02-04
Milwaukee,Purdue Fort Wayne,60,70,2022-02-04
Harvard,Brown,65,50,2022-02-04
Quinnipiac,Saint Peters,74,83,2022-02-04
Creighton,Seton Hall,55,74,2022-02-04
Rider,Siena,74,60,2022-02-04
Manhattan,Niagara,74,80,2022-02-04
Iona,Canisius,70,62,2022-02-04
Green Bay,Cleveland St.,69,85,2022-02-04
Princeton,Cornell,83,88,2022-02-04
Penn,Columbia,81,66,2022-02-04
Detroit Mercy,Wright St.,59,90,2022-02-04
Oakland,Northern Ky.,78,87,2022-02-04
San Diego St.,Colorado St.,57,58,2022-02-04
Toledo,Ball St.,83,93,2022-02-04
Nevada,Fresno St.,56,73,2022-02-04
Oklahoma,Oklahoma St.,55,64,2022-02-05
Robert Morris,IUPUI,66,49,2022-02-05
UNC Greensboro,Furman,58,56,2022-02-05
Illinois,Indiana,74,57,2022-02-05
Wake Forest,Florida St.,68,60,2022-02-05
Mercer,Chattanooga,68,77,2022-02-05
UConn,Villanova,74,85,2022-02-05
St. Johns (NY),Butler,75,72,2022-02-05
LIU,Wagner,64,79,2022-02-05
Fairleigh Dickinson,Central Conn. St.,82,91,2022-02-05
Samford,The Citadel,93,107,2022-02-05
Northwestern,Nebraska,87,63,2022-02-05
Auburn,Georgia,74,72,2022-02-05
Tennessee,South Carolina,81,57,2022-02-05
Vermont,UMass Lowell,78,67,2022-02-05
Holy Cross,Army West Point,69,65,2022-02-05
Fordham,Saint Josephs,69,72,2022-02-05
Maine,Binghamton,60,69,2022-02-05
Louisville,Syracuse,69,92,2022-02-05
Dayton,Saint Louis,61,72,2022-02-05
Texas Tech,West Virginia,60,53,2022-02-05
Merrimack,Saint Francis (PA),65,64,2022-02-05
Davidson,George Washington,78,73,2022-02-05
ETSU,Wofford,60,62,2022-02-05
Towson,Northeastern,53,58,2022-02-05
George Mason,La Salle,78,83,2022-02-05
DePaul,Xavier,69,65,2022-02-05
Eastern Mich.,Kent St.,71,90,2022-02-05
Massachusetts,Rhode Island,78,67,2022-02-05
N.C. A&T,Gardner-Webb,62,69,2022-02-05
East Carolina,Tulane,66,86,2022-02-05
James Madison,Hofstra,78,85,2022-02-05
Western Mich.,Ohio,64,77,2022-02-05
Tulsa,Temple,58,67,2022-02-05
Bucknell,Lafayette,72,74,2022-02-05
Boston U.,Lehigh,80,74,2022-02-05
Bradley,Evansville,76,41,2022-02-05
Omaha,North Dakota,85,92,2022-02-05
Clemson,Georgia Tech,64,69,2022-02-05
Iowa St.,Texas,41,63,2022-02-05
Denver,North Dakota St.,65,73,2022-02-05
Youngstown St.,UIC,66,64,2022-02-05
South Alabama,Georgia St.,62,69,2022-02-05
Michigan,Purdue,76,82,2022-02-05
ULM,Little Rock,75,72,2022-02-05
UTEP,Rice,72,70,2022-02-05
Utah Valley,Sam Houston,57,54,2022-02-05
Notre Dame,NC State,69,57,2022-02-05
Dixie St.,SFA,52,81,2022-02-05
Alabama St.,Grambling,80,72,2022-02-05
Ole Miss,Florida,57,62,2022-02-05
Albany (NY),Hartford,71,52,2022-02-05
Middle Tenn.,UAB,75,97,2022-02-05
Troy,Ga. Southern,61,52,2022-02-05
Marshall,Charlotte,64,88,2022-02-05
Michigan St.,Rutgers,63,84,2022-02-05
UC San Diego,UC Santa Barbara,48,84,2022-02-05
Col. of Charleston,Elon,66,64,2022-02-05
UNCW,William & Mary,92,70,2022-02-05
Austin Peay,Morehead St.,52,77,2022-02-05
Bryant,Mount St. Marys,62,61,2022-02-05
Southern Miss.,Fla. Atlantic,57,84,2022-02-05
Northern Colo.,Northern Ariz.,74,71,2022-02-05
UTRGV,Abilene Christian,66,83,2022-02-05
UMES,Howard,64,72,2022-02-05
Missouri,Texas A&M,70,66,2022-02-05
Baylor,Kansas,59,83,2022-02-05
Coppin St.,N.C. Central,68,69,2022-02-05
Colgate,American,86,68,2022-02-05
Washington St.,California,68,64,2022-02-05
Sacred Heart,St. Francis Brooklyn,66,62,2022-02-05
Campbell,USC Upstate,80,71,2022-02-05
Duquesne,VCU,62,71,2022-02-05
Prairie View,Bethune-Cookman,67,68,2022-02-05
Stetson,Central Ark.,75,79,2022-02-05
Texas Southern,Florida A&M,67,55,2022-02-05
Buffalo,Central Mich.,74,54,2022-02-05
Tennessee St.,UT Martin,69,61,2022-02-05
North Florida,North Ala.,71,58,2022-02-05
Presbyterian,Radford,78,70,2022-02-05
NIU,Bowling Green,65,87,2022-02-05
Louisiana,Arkansas St.,58,67,2022-02-05
Miami (FL),Virginia,58,71,2022-02-05
Jackson St.,Mississippi Val.,69,65,2022-02-05
Navy,Loyola Maryland,56,55,2022-02-05
FGCU,Lipscomb,77,68,2022-02-05
New Orleans,UIW,70,78,2022-02-05
Eastern Ill.,Southeast Mo. St.,56,63,2022-02-05
Jacksonville,Jacksonville St.,58,64,2022-02-05
Southern California,Arizona,63,72,2022-02-05
Northwestern St.,McNeese,84,93,2022-02-05
Winthrop,Hampton,69,57,2022-02-05
Longwood,Charleston So.,69,67,2022-02-05
Dartmouth,Brown,60,62,2022-02-05
Coastal Carolina,Texas St.,64,69,2022-02-05
UNLV,Utah St.,75,90,2022-02-05
Oregon St.,Colorado,63,86,2022-02-05
UNI,Drake,74,69,2022-02-05
Penn St.,Wisconsin,49,51,2022-02-05
Seattle U,New Mexico St.,64,79,2022-02-05
Duke,North Carolina,87,67,2022-02-05
SMU,Wichita St.,57,72,2022-02-05
App State,UT Arlington,70,61,2022-02-05
LSU,Vanderbilt,66,75,2022-02-05
UTSA,North Texas,45,69,2022-02-05
San Jose St.,Boise St.,60,76,2022-02-05
Penn,Cornell,73,68,2022-02-05
Alcorn,Ark.-Pine Bluff,70,64,2022-02-05
Alabama A&M,Southern U.,64,73,2022-02-05
Kennesaw St.,Bellarmine,75,70,2022-02-05
Western Ky.,Old Dominion,77,60,2022-02-05
Princeton,Columbia,85,63,2022-02-05
UNC Asheville,High Point,83,91,2022-02-05
Liberty,Eastern Ky.,91,84,2022-02-05
Harvard,Yale,55,58,2022-02-05
Oakland,Wright St.,64,75,2022-02-05
New Hampshire,UMBC,77,88,2022-02-05
Stony Brook,NJIT,62,65,2022-02-05
Cal Poly,Long Beach St.,65,78,2022-02-05
